Id,Rate Category Id,Rate Category,Distance,Rate
1133,2,Rates for White LPG,153,0.0808
1134,2,Rates for White LPG,154,0.081198
1135,2,Rates for White LPG,155,0.081596
1136,2,Rates for White LPG,156,0.081994
1137,2,Rates for White LPG,157,0.082392
1138,2,Rates for White LPG,158,0.08279
1139,2,Rates for White LPG,159,0.083188
1140,2,Rates for White LPG,160,0.083586
1141,2,Rates for White LPG,161,0.083983
1142,2,Rates for White LPG,162,0.084381
1143,2,Rates for White LPG,163,0.084779
1144,2,Rates for White LPG,164,0.085177
1145,2,Rates for White LPG,165,0.085575
1146,2,Rates for White LPG,166,0.085973
1147,2,Rates for White LPG,167,0.086371
1148,2,Rates for White LPG,168,0.086769
1149,2,Rates for White LPG,169,0.087167
1150,2,Rates for White LPG,170,0.087565
1151,2,Rates for White LPG,171,0.087963
1152,2,Rates for White LPG,172,0.088361
1153,2,Rates for White LPG,173,0.088758
1154,2,Rates for White LPG,174,0.089156
1155,2,Rates for White LPG,175,0.089554
1156,2,Rates for White LPG,176,0.089952
1157,2,Rates for White LPG,177,0.09035
1158,2,Rates for White LPG,178,0.090748
1159,2,Rates for White LPG,179,0.091146
1160,2,Rates for White LPG,180,0.091544
1161,2,Rates for White LPG,181,0.091942
1162,2,Rates for White LPG,182,0.09234
1163,2,Rates for White LPG,183,0.092738
1164,2,Rates for White LPG,184,0.093136
1165,2,Rates for White LPG,185,0.093534
1166,2,Rates for White LPG,186,0.093931
1167,2,Rates for White LPG,187,0.094329
1168,2,Rates for White LPG,188,0.094727
1169,2,Rates for White LPG,189,0.095125
1170,2,Rates for White LPG,190,0.095523
1171,2,Rates for White LPG,191,0.095921
1172,2,Rates for White LPG,192,0.096319
1173,2,Rates for White LPG,193,0.096717
1174,2,Rates for White LPG,194,0.097115
1175,2,Rates for White LPG,195,0.097513
1176,2,Rates for White LPG,196,0.097911
1177,2,Rates for White LPG,197,0.098309
1178,2,Rates for White LPG,198,0.098706
1179,2,Rates for White LPG,199,0.099104
1180,2,Rates for White LPG,200,0.099502
1181,2,Rates for White LPG,201,0.0999
1182,2,Rates for White LPG,202,0.100298
1183,2,Rates for White LPG,203,0.100696
1184,2,Rates for White LPG,204,0.101094
1185,2,Rates for White LPG,205,0.101492
1186,2,Rates for White LPG,206,0.10189
1187,2,Rates for White LPG,207,0.102288
1188,2,Rates for White LPG,208,0.102686
1189,2,Rates for White LPG,209,0.103084
1190,2,Rates for White LPG,210,0.103481
